HSCode,Commodity,Year_2022_2023,Share_Percentage_22_23,Year_2023_2024,Share_Percentage_23_24
90111,COFFEE NEITHER ROASTED NOR DECAFFEINATED,"676,530.79",0.1869,"83,005.39",0.2855
90112,NOT ROASTED BUT DECAFFEINATED COFFEE,653.53,0.0002,6.51,0
90121,ROASTED NOT DECAFFEINATED COFFEE,"2,205.26",0.0006,163.75,0.0006
90122,ROASTED DECAFFEINATED COFFEE,107.15,0,1.31,0
90190,OTHER COFFEE,"1,735.92",0.0005,206.06,0.0007
90210,GREEN TEA IN PACKETS NT EXCDNG 3 KG,"6,972.34",0.0019,688.87,0.0024
90220,OTHER GREEN TEA (NOT FERMENTED):,"11,545.21",0.0032,673.29,0.0023
90230,BLACK TEA(FRMNTD) AND PRTLY FRMNTD TEA IN IMMDTE PACKNG OF A CONTNT NOT EXCDNG 3 KG,"80,924.13",0.0224,"7,513.84",0.0258
90240,OTHER BLACK TEA (FERMENTED) AND OTHER PARTLY FERMENTED TEA :,"516,097.39",0.1426,"36,135.92",0.1243
90300,MATE,10.19,0,,
90411,PEPPER NEITHER CRUSHED NOR GROUND,"36,457.84",0.0101,"3,575.23",0.0123
90412,CRUSHED OR GROUND PEPPER,"35,636.32",0.0098,"2,800.28",0.0096
90421,"FRUITS OF THE GENUS CAPSICUM OR OF THE GENUS PIMENTA: DRIED, NEITHER CRUSHED NOR GROUND:","954,091.82",0.2636,"62,230.31",0.214
90422,FRUITS OF THE GENUS CAPSICUM- CRUSHED OR GROUND,"238,737.67",0.066,"19,002.15",0.0654
90520,VANILLA- CRUSHED OR GROUND,347.57,0.0001,2.96,0
90611,CINNAMON (CINNAMOMUM ZEYLANICUM BLUME),"4,153.99",0.0011,350.52,0.0012
90619,OTHER:,"2,400.94",0.0007,112.22,0.0004
90620,CINNAMON AND ITS TREE FLWRS CRSHD OR GRND,"3,671.89",0.001,425.84,0.0015
90710,"CLOVES (WHOLE FRUIT, CLOVES AND STEMS) NEITHER CRUSHED NOR GROUND","8,514.14",0.0024,883.85,0.003
90720,"CLOVES (WHOLE FRUIT, CLOVES AND STEMS) CRUSHED OR GROUND","1,469.64",0.0004,189.22,0.0007
90811,NUTMEG NEITHER CRUSHED NOR GROUND,"21,189.56",0.0059,"1,367.67",0.0047
90812,NUTMEG CRUSHED OR GROUND,"5,842.70",0.0016,537.11,0.0018
90821,MACE NEITHER CRUSHED NOR GROUND,"1,090.73",0.0003,114.34,0.0004
90822,MACE CRUSHED OR GROUND,564.7,0.0002,36.11,0.0001
90831,CARDAMOMS: NEITHER CRUSHED NOR GROUND:,"109,439.49",0.0302,"12,897.49",0.0444
90832,CARDAMOMS: CRUSHED OR GROUND,"5,530.23",0.0015,614.04,0.0021
90921,SEEDS OF CORIANDER:NEITHER CRUSHED NOR GROUND:,"77,333.33",0.0214,"4,894.87",0.0168
90922,SEEDS OF CORIANDER:CRUSHED OR GROUND,"17,487.64",0.0048,"1,268.34",0.0044
90931,SEEDS OF CUMIN: NEITHER CRUSHED NOR GROUND,"527,945.50",0.1459,"96,270.30",0.3311
90932,SEEDS OF CUMIN: CRUSHED OR GROUND,"51,777.93",0.0143,"4,010.33",0.0138
90961,"SEEDS OF ANISE, BADIAN, CARAWAY OR FENNEL; JUNIPER BERRIES NEITHER CRUSHED NOR GROUND","63,848.43",0.0176,"11,615.58",0.0399
90962,"SEEDS OF ANISE, BADIAN, CARAWAY OR FENNEL; JUNIPER BERRIES CRUSHED OR GROUND","5,768.06",0.0016,195.87,0.0007
91011,GINGER:NEITHER CRUSHED NOR GROUND,"46,317.02",0.0128,"2,811.88",0.0097
91012,GINGER:CRUSHED OR GROUND,"18,371.54",0.0051,"1,601.36",0.0055
91020,SAFFRON,584.5,0.0002,52.4,0.0002
91030,TURMERIC (CURCUMA),"187,586.79",0.0518,"21,760.08",0.0748
91091,MIXTRS OF TWO OR MORS PRODCTS OF DIFF HDG,"89,605.15",0.0248,"6,661.84",0.0229
91099,OTHER : SEED :,"110,429.23",0.0305,"10,631.26",0.0366
9,"COFFEE, TEA, MATE AND SPICES.","3,922,976.27",1.0839,"395,308.40",1.3595
170112,BEET SUGR RAW NT CONTNG FLVRNG/COLRNG MATR,116.55,0,15.24,0.0001
170113,CANE SUGAR SPECIFIED IN SUBHEADING NOTE 2 TO THIS CHAPTER:,"56,381.70",0.0156,"4,173.90",0.0144
170114,OTHER CANE SUGAR:,"493,967.01",0.1365,"38,651.73",0.1329
170191,SUGR REFIND CONTNG FLVRNG OR CLRNG MATTER,"5,866.79",0.0016,14.36,0
170199,SUGR REFIND NT CONTNG FRVRNG/COLRNG MATTER,"1,741,027.42",0.481,"137,150.16",0.4717
170211,LACTS AND LACTS SYRP CONTNG 99% OR MRE LACTSCALCTD ON THE DRY MATTER,"7,598.57",0.0021,596.51,0.0021
170219,OTHER LACTOSE AND LACTOSE SYRUP,252.04,0.0001,2.67,0
170220,MAPLE SUGAR AND MAPLE SYRUP,9.14,0,0.42,0
170230,CHMCLY PURE GLUCOS AND ITS SYRP WITHOUT OR WITH < 20% BY WGT OF FRACTOS IN DRY STATE,"81,495.47",0.0225,"5,972.20",0.0205
170240,CHMCLY PURE GLUCS AND GLUCS SYRP IN DRY STATE WITH FRUCTOSE CONTENT AT LEAST 20% BUT LESS THAN 50%,316.42,0.0001,65.11,0.0002
170250,CHEMICALLY PURE FRUCTOSE IN SOLID FORM,9.07,0,2.22,0
170260,"OTHER FRUCTOSE AND FRUCTOSE SYRUP, CONTAINING IN THE DRY STATE MORE THAN 50% BY WEIGHT OF FRUCTOSE, EXCLUDING INV",11.15,0,0.03,0
170290,"OTHER, INCLUDING INVERT SUGAR AND OTHER SUGAR AND SUGAR SYRUP BLENDS CONTAINING IN THE DRY STATE 50% BY WEIGHT OF FRUC","41,657.79",0.0115,"3,899.81",0.0134
170310,CANE MOLSES RSLTD FRM EXTRCTN/RFNG OF SUGR,"85,556.21",0.0236,615.97,0.0021
170390,OTHR MOLSES RSLTD FRM EXTRCTN/RFNG OF SUGR,"24,697.95",0.0068,964.2,0.0033
170410,CHEWING GUM W/N SUGAR COATED,"11,547.24",0.0032,"1,150.48",0.004
170490,OTHER SUGR CNFCTNRY NT CONTAINING COCOA,"175,067.86",0.0484,"13,723.79",0.0472
17,SUGARS AND SUGAR CONFECTIONERY.,"2,725,578.38",0.7531,"206,998.80",0.7119
310100,"ANML/VGTBL FRTLSRS,W/N MIXED TOGETHER OR CHMCLY TRTD;FERTILISERS PRDCD BY THE MXNG/CHMCL TREATMNT OF ANML/VEGTBL PRDCTS","14,422.06",0.004,"1,648.31",0.0057
310210,UREA WHETHER OR NOT IN AQUEOUS SOLUTION,"25,803.82",0.0071,106.6,0.0004
310221,AMMONIUM SULPHATE,"1,206.52",0.0003,190.28,0.0007
310229,DOUBLE SALTS AND MIXTURES OF AMMONIUM SLPHTE,264.63,0.0001,2.87,0
310230,AMMONIUM NITRATE W/N IN AQUEOUS SOLUTION,427.62,0.0001,928.25,0.0032
310250,SODIUM NITRATE,80.93,0,19.87,0.0001
310260,DOUBLE SLT/MXTR OF CALCM NITRTE/AMONM NTRT,224.01,0.0001,4.07,0
310280,MIXTURES OF UREA AND AMMONIUM NITRATE IN AQUEOUS OR AMMONIACAL SOLUTION,61.58,0,,
310290,"OTHR MNRL/CHMCL FRTLSRS,NTROGNS INCL MXTRSFOREGOING SUB-HEADING",288.51,0.0001,16.08,0.0001
310311,SUPERPHOSPHATES CONTAINING BY WEIGHT 35 % OR MORE OF DIPHOSPHORUS PENTAOXIDE (P2O5),3.15,0,,
310319,OTHER SUPERPHOSPHATES,"18,408.32",0.0051,"3,028.83",0.0104
310420,POTASSIUM CHLORIDE,"9,405.76",0.0026,932.19,0.0032
310430,POTASSIUM SULPHATE,"2,522.86",0.0007,159.36,0.0005
